"id","female","raven","isei_f","isei_m"
1,FALSE,99.59386,25.71,NA
2,TRUE,96.864932,33.76,14.64
3,TRUE,131.05895,37.22,28.48
4,TRUE,83.110402,25.23,26.64
5,TRUE,101.498615,NA,21.24
6,FALSE,122.780591,24.45,23.47
7,TRUE,105.50959,25.23,21.24
8,FALSE,129.465549,25.71,NA
9,TRUE,128.384967,25.95,NA
10,TRUE,103.916189,25.71,26.64
11,FALSE,99.081041,39.04,28.48
12,FALSE,78.788073,25.71,NA
13,FALSE,109.61214,23.8,28.48
14,FALSE,127.047976,54.54,NA
15,FALSE,97.414381,17.79,17.79
16,FALSE,119.52053,23.8,28.48
17,FALSE,118.549837,25.71,54.55
18,FALSE,113.842894,51.5,76.49
19,TRUE,103.494945,51.5,70.4
20,FALSE,120.967411,25.71,28.48
21,TRUE,121.956418,26.85,24.98
22,TRUE,91.040777,25.95,24.93
23,TRUE,80.802718,25.95,24.93
24,FALSE,118.623097,25.71,56.35
25,TRUE,67.359542,11.74,14.21
26,TRUE,104.190913,28.52,28.48
